problem type,template id,text,information,label
Network Revenue Management Problem,9,"In a well-known coffee shop, there are two signature drinks (D1 and D2), each bringing in a profit of w_1 and w_2 respectively. The demand for each drink varies independently. The coffee shop's goal is to decide which customer orders to fulfill during a specific busy period [0,10] to maximize the total expected revenue, based on the available ingredients. The current inventory for these drinks is c_1 and c_2 respectively. During this period, restocking is not possible, and no additional supplies are expected. Customers interested in ordering D1 and D2 arrive at the shop according to a Poisson process, with arrival rates a_1 and a_2 respectively. The decision variables y_1 and y_2 represent the number of orders the coffee shop plans to fulfill for each of the two drinks, and these variables must be positive integers.","Profit information: w_1 = 30, w_2 = 19.8; Inventory information: c_1 = 72, c_2 = 68; Demand information: a_1 = 6, a_2 = 8.",max 30 19.8; 1 0 <= 72; 0 1 <= 68; 1 0 <= 60; 0 1 <= 80; Z+ Z+
Network Revenue Management Problem,10,"In a popular bakery, there are three specialty pastries (S1, S2, S3), each offering a profit of w_1, w_2, and w_3 respectively. The demand for each pastry is distinct and varies from customer to customer. The bakery's goal is to determine which customer orders to fulfill during a single busy morning to maximize the total revenue, based on the limited quantity of pastries available. The current stock for these pastries is c_1, c_2, and c_3 respectively. Restocking is not an option during this period, and no additional batches will be made. Customers looking to purchase P1, P2, and P3 arrive at the bakery according to a Poisson process, with arrival rates a_1, a_2, and a_3 respectively. The decision variables y_1, y_2, and y_3 represent the number of orders the bakery plans to fulfill for each of the three pastries, and these must be positive integers.","Profit information: w_1 = 20.5,w_2 = 8.8,w_3 = 29.7; Inventory information: c_1 = 48, c_2 = 71, c_3 =30; Demand information: a_1 = 31, a_2 = 80, a_3 = 29.",max 20.5 8.8 29.7; 1 0 0 <= 48; 0 1 0 <= 71; 0 0 1 <= 30; 1 0 0 <= 31; 0 1 0 <= 80; 0 0 1 <= 29; Z+ Z+ Z+
Network Revenue Management Problem,1,"There are three best-selling items (P1, P2, P3) on Amazon with the profit w_1,w_2,w_3.There is an independent demand stream for each of the products. The objective of the company is to decide which demands to be fufilled over a 铿_ite sales horizon [0,10] to maximize the total expected revenue from 铿_ed initial inventories. The on-hand inventories for the three items are c_1,c_2,c_3 respectively. During the sales horizon, replenishment is not allowed and there is no any in-transit inventories. Customers who want to purchase P1,P2,P3 arrive at each period accoring to a Poisson process with a_1,a_2,a_3 the arrival rates respectively. Decision variables y_1,y_2,y_3 correspond to the number of requests that the firm plans to fulfill for product 1,2,3. These variables are all positive integers.","Profit information: w_1 = 20,w_2 = 10,w_3 = 30; Inventory information: c_1 = 50, c_2 = 70, c_3 =30; Demand information: a_1 = 3, a_2 = 8, a_3 = 2.",max 20 10 30; 1 0 0 <= 50; 0 1 0 <= 70; 0 0 1 <= 30; 1 0 0 <= 30; 0 1 0 <= 80; 0 0 1<= 20; Z+ Z+ Z+
Network Revenue Management Problem,2,"There are three popular items (M1,M2, M3) in a local supermarket, each with a profit margin of w_1, w_2, and w_3 respectively. Each product has its own independent demand stream. The supermarket's goal is to determine which customer demands to meet over a fixed sales period [0,20] to maximize the total expected revenue based on the current stock levels. The inventory capacity for these three items is c_1, c_2, and c_3 respectively. During the sales period, restocking is not possible, and there are no goods currently being shipped. Customers who wish to buy P1, P2, and P3 arrive during each period following a Poisson process, with arrival rates of a_1, a_2, and a_3 respectively. The decision variables y_1, y_2, and y_3 represent the number of requests the supermarket plans to fulfill for products 1, 2, and 3, respectively. These decision variables must be positive integers.","Profit information: w_1 = 31,w_2 = 42,w_3 = 67; Inventory information: c_1 = 372, c_2 = 465, c_3 =892; Demand information: a_1 = 15, a_2 = 20, a_3 = 40.",max 31 42 67; 1 0 0 <= 372; 0 1 0 <= 465; 0 0 1 <= 892; 1 0 0 <= 300; 0 1 0 <= 400; 0 0 1 <= 800; Z+ Z+ Z+
Resource Allocation Problem,1,"A logistics compnay EW needs to load three types of of products, M1,M2,M3 into a fleet of delivery trucks. To be more specific, there are two trucks T1,T2. Each truck has a specific weight capacity c_1,c_2 , and each product has a predefined value v_1,v_2,v_3 and a particular weight w_1,w_2,w_3. The objective is to determine how many units of each product to load into each truck so that the total value of the products loaded across all trucks can be maximized and the total weight of the products loaded in each truck does not exceed the truck's weight capacity. The decision variables x_11, x_12, x_13, x_21, x_22, and x_23 represent the number of units of product M1,M2,M3 loaded into the truck T1,T2. For example, x_12 denotes the specific number of product M2 carried by the truck T1. ","Value information: v_1 = 10, v_2 = 20, v_3 = 8; Capacity information: c_1 = 25, c_2 = 30; Weight information: w_1 = 5, w_2 = 6, w_3 = 2.",max 10 20 8 10 20 8; 5 6 2 0 0 0 <= 25; 0 0 0 5 6 2 <= 30; Z+ Z+ Z+ Z+ Z+ Z+ 
Resource Allocation Problem,2,"A healthcare logistics company, HS, needs to distribute three types of medical supplies M1,M2, M3 to two regional medical centers R1 and R2. Each center has a specific storage capacity, denoted as c_2,c_2. Each supply type has a predefined profit p_1,p_2,p_3 and a specific weight w_1,w_2,w_3. The goal is to determine the number of units of each medical supply to be delivered to and between the centers in such a way that the total value of supplies is maximized, while ensuring that the weight of supplies at each center does not exceed its capacity. The decision variables x_11, x_12, x_13, x_21, x_22, and x_23 represent the number of units of medical supplies M1,M2,M3 distributed into the regional medical centers R1,R2. ","Profit information: p_1 = 15, p_2 = 25, p_3 = 10; Capacity information: c_1 = 200, c_2 = 250; Weight information: w_1 = 3, w_2 = 4, w_3 = 2.",max 15 25 10 15 25 10; 3 4 2 0 0 0 <= 200; 0 0 0 3 4 2 <= 250; Z+ Z+ Z+ Z+ Z+ Z+ 
Resource Allocation Problem,9,"An e-commerce company needs to allocate warehouse space for three product lines, L1, L2, and L3, across two warehouses W1 and W2. Each warehouse has a storage capacity c_1, c_2, and each product line has a value r_1, r_2, r_3 and a required space s_1, s_2, s_3. The objective is to determine how many units of each product line to store in each warehouse to maximize revenue without exceeding storage capacity. The decision variables x_11, x_12, x_13, x_21, x_22, x_23 represent the units of product lines L1, L2, and L3 stored in warehouses W1 and W2. For example, x_12 denotes the units of product line L2 stored in warehouse W1.","Revenue information: r_1 = 45, r_2 = 50, r_3 = 35; Capacity information: c_1 = 400, c_2 = 450; Space information: s_1 = 10, s_2 = 15, s_3 = 5.",max 45 50 35 45 50 35; 10 15 5 0 0 0 <= 400; 0 0 0 10 15 5 <= 450; Z+ Z+ Z+ Z+ Z+ Z+
Resource Allocation Problem,10,"A beverage company needs to allocate three different flavors of drinks, F1, F2, and F3, across two distribution centers D1 and D2. Each distribution center has a maximum storage capacity c_1, c_2, and each drink flavor has a predefined value v_1, v_2, v_3 and volume per unit v_1, v_2, v_3. The objective is to determine how many units of each flavor to store in each distribution center to maximize total profit while not exceeding the storage capacities. The decision variables x_11, x_12, x_13, x_21, x_22, x_23 represent the units of flavors F1, F2, and F3 stored in distribution centers D1 and D2. For example, x_12 denotes the number of units of flavor F2 stored in distribution center D1.","Revenue information: v_1 = 15, v_2 = 25, v_3 = 18; Capacity information: c_1 = 500, c_2 = 600; Volume per unit information: v_1 = 3, v_2 = 4, v_3 = 2.",max 15 25 18 15 25 18; 3 4 2 0 0 0 <= 500; 0 0 0 3 4 2 <= 600; Z+ Z+ Z+ Z+ Z+ Z+ 
Transportation Problem,1,"A fashion retailer needs to determine the optimal delivery for three clothing items, C1, C2, and C3, across three stores, S1, S2, and S3, to minimize their overall distribution costs while meeting demand. The demand for each item is d_1, d_2, d_3. The goal is to determine how many units of each clothing item to ship to each store to minimize the total distribution costs while satisfying the demand. The specific transportation cost can be The decision variables x_11, x_12, x_13, x_21, x_22, x_23, x_31, x_32, x_33 represent the units of clothing items C1, C2, and C3 shipped to stores S1, S2, and S3. For example, x_12 denotes the units of clothing item C2 shipped to store S1.","Demand information: d_1 = 120, d_2 = 150, d_3 = 180; Distribution cost information: t_11 = 8, t_12 = 10, t_13 = 12, t_21 = 9, t_22 = 11, t_23 = 13, t_31 = 10, t_32 = 12, t_33 = 14",min 8 10 12 9 11 13 10 12 14; 1 1 1 0 0 0 0 0 0 >= 120; 0 0 0 1 1 1 0 0 0 >= 150; 0 0 0 0 0 0 1 1 1 >= 180; Z+ Z+ Z+ Z+ Z+ Z+
Transportation Problem,2,"A furniture retailer needs to determine the optimal delivery for three furniture items, F1, F2, and F3, across three warehouses, W1, W2, and W3, to minimize their overall distribution costs while meeting demand. The demand for each item is d_1, d_2, d_3. The goal is to determine how many units of each furniture item to ship to each warehouse to minimize the total distribution costs while satisfying the demand. The decision variables x_11, x_12, x_13, x_21, x_22, x_23, x_31, x_32, x_33 represent the units of furniture items F1, F2, and F3 shipped to warehouses W1, W2, and W3. For example, x_12 denotes the units of furniture item F2 shipped to warehouse W1.","Demand information: d_1 = 100, d_2 = 200, d_3 = 150
Distribution cost information: t_11 = 7, t_12 = 9, t_13 = 11, t_21 = 8, t_22 = 10, t_23 = 12, t_31 = 9, t_32 = 11, t_33 = 13",min 7 9 11 8 10 12 9 11 13; 1 1 1 0 0 0 0 0 0 >= 100; 0 0 0 1 1 1 0 0 0 >= 200; 0 0 0 0 0 0 1 1 1 >= 150; Z+ Z+ Z+ Z+ Z+ Z+ 
